武將名	 編號	 屬國	加入年	加入月	加入日	已登場時期	 類型	 對話
劉備	1	1	189	1	1	1	1	1
關羽	2	1	189	1	1	1	1	1
張飛	3	1	189	1	1	1	1	1
馬超	13	7	189	1	1	1	1	1
曹操	16	2	189	1	1	1	1	1
曹仁	18	2	189	1	1	1	1	1
曹洪	19	2	189	1	1	1	1	1
夏侯惇	20	2	189	1	1	1	1	1
夏侯淵	21	2	189	1	1	1	1	1
荀彧	22	2	189	1	1	1	1	1
賈詡	26	8	189	1	1	1	1	1
張遼	28	8	189	1	1	1	1	1
龐德	29	7	189	1	1	1	1	1
張郃	30	0	189	1	1	1	1	1
程普	33	3	189	1	1	1	1	1
黃蓋	41	3	189	1	1	1	1	1
于禁	47	2	189	1	1	1	1	1
公孫度	48	0	189	1	1	1	1	1
公孫瓚	50	0	189	1	1	1	1	1
卞喜	51	0	189	1	1	1	1	1
孔融	52	0	189	1	1	1	1	1
文醜	56	4	189	1	1	1	1	1
伊藉	71	6	189	1	1	1	1	1
朱治	75	3	189	1	1	1	1	1
朱靈	78	4	189	1	1	1	1	1
吳懿	80	5	189	1	1	1	1	1
呂布	81	8	189	1	1	1	1	1
李典	85	2	189	1	1	1	1	1
李傕	87	8	189	1	1	1	1	1
辛毗	90	4	189	1	1	1	1	1
辛評	91	4	189	1	1	1	1	1
周倉	93	0	189	1	1	1	1	1
沮授	97	0	189	1	1	1	1	1
紀靈	100	0	189	1	1	1	1	1
孫乾	109	0	189	1	1	1	1	1
孫堅	110	3	189	1	1	1	1	1
荀攸	115	2	189	1	1	1	1	1
袁紹	117	4	189	1	1	1	1	1
袁術	118	0	189	1	1	1	1	1
馬騰	124	7	189	1	1	1	1	1
高幹	126	4	189	1	1	1	1	1
高覽	127	4	189	1	1	1	1	1
張任	129	5	189	1	1	1	1	1
顏良	131	4	189	1	1	1	1	1
張繡	133	8	189	1	1	1	1	1
曹休	136	2	189	1	1	1	1	1
曹純	140	2	189	1	1	1	1	1
淳于瓊	144	4	189	1	1	1	1	1
許攸	145	4	189	1	1	1	1	1
逢紀	147	4	189	1	1	1	1	1
郭氾	148	8	189	1	1	1	1	1
郭圖	150	4	189	1	1	1	1	1
陳宮	152	0	189	1	1	1	1	1
陳琳	153	4	189	1	1	1	1	1
陶謙	155	0	189	1	1	1	1	1
華雄	160	8	189	1	1	1	1	1
華歆	161	8	189	1	1	1	1	1
黃祖	164	6	189	1	1	1	1	1
楊彪	168	8	189	1	1	1	1	1
董卓	171	8	189	1	1	1	1	1
董昭	172	8	189	1	1	1	1	1
臧霸	179	2	189	1	1	1	1	1
蒯越	181	6	189	1	1	1	1	1
劉表	182	6	189	1	1	1	1	1
劉焉	185	5	189	1	1	1	1	1
劉璋	188	5	189	1	1	1	1	1
劉繇	190	0	189	1	1	1	1	1
審配	191	4	189	1	1	1	1	1
樂進	192	2	189	1	1	1	1	1
蔡瑁	196	6	189	1	1	1	1	1
盧植	200	8	189	1	1	1	1	1
糜竺	200	1	189	1	1	1	1	1
糜芳	200	1	189	1	1	1	1	1
韓當	200	3	189	1	1	1	1	1
韓遂	200	7	189	1	1	1	1	1
韓馥	200	0	189	1	1	1	1	1
簡雍	200	1	189	1	1	1	1	1
董承	200	8	189	1	1	1	1	1
韓玄	200	6	189	1	1	1	1	1
徐榮	200	8	189	1	1	1	1	1
楊奉	200	8	189	1	1	1	1	1
高順	200	8	189	1	1	1	1	1
郭嘉	23	2	190	3	2	2	2	2
程昱	157	2	190	6	2	2	2	2
典韋	24	2	190	9	2	2	2	2
趙雲	5	0	191	2	2	2	2	2
滿寵	178	2	191	4	2	2	2	2
劉琦	186	6	191	6	2	2	2	2
韓浩	200	2	191	8	2	2	2	2
徐晃	25	8	191	10	2	2	2	2
孫策	32	3	192	1	2	2	2	2
呂蒙	42	3	192	2	2	2	2	2
黃忠	10	6	192	3	2	2	2	2
甘寧	38	6	192	4	2	2	2	2
袁譚	120	4	192	5	2	2	2	2
楊松	166	0	192	6	2	2	2	2
呂翔	200	4	192	7	2	2	2	2
張昭	35	3	192	8	2	2	2	2
張紘	36	3	192	9	2	2	2	2
毛玠	57	2	192	10	2	2	2	2
向朗	73	6	192	11	2	2	2	2
呂虔	82	2	192	12	2	2	2	2
王朗	62	0	193	1	2	2	2	2
張魯	132	0	193	2	2	2	2	2
陳群	154	2	193	3	2	2	2	2
蔣欽	194	3	193	4	2	2	2	2
許褚	146	2	193	5	2	2	2	2
虞翻	174	3	193	6	2	2	2	2
周瑜	34	3	193	7	2	2	2	2
太史慈	40	0	193	8	2	2	2	2
周泰	45	3	193	9	2	2	2	2
張松	130	5	193	11	2	2	2	2
禰衡	200	0	193	12	2	2	2	2
呂範	84	3	194	7	2	2	2	2
魯肅	39	3	195	1	3	3	3	3
袁熙	119	4	195	7	3	3	3	3
孫權	31	3	196	1	3	3	3	3
王修	61	4	196	3	3	3	3	3
孟達	95	5	196	5	3	3	3	3
鍾繇	200	2	196	7	3	3	3	3
法正	96	5	196	9	3	3	3	3
楊修	167	2	196	10	3	3	3	3
王甫	60	1	196	11	4	4	4	4
潘璋	193	3	196	12	3	3	3	3
董襲	173	3	197	2	3	3	3	3
王粲	63	6	197	4	3	3	3	3
胡班	101	1	197	6	3	3	3	3
蔣幹	195	2	197	9	3	3	3	3
霍峻	200	6	197	10	3	3	3	3
顧雍	69	3	198	1	3	3	3	3
金旋	98	6	198	4	3	3	3	3
袁尚	116	4	198	7	3	3	3	3
崔琰	128	2	198	11	3	3	3	3
劉琮	187	6	199	7	3	3	3	3
魏延	11	6	200	1	3	3	3	3
諸葛謹	37	3	200	2	3	3	3	3
朱然	77	3	200	3	3	3	3	3
刑道榮	92	6	200	4	3	3	3	3
徐盛	113	3	200	5	3	3	3	3
馬岱	122	7	200	6	3	3	3	3
劉循	200	5	200	8	3	3	3	3
文聘	55	6	200	10	3	3	3	3
廖化	177	1	200	12	4	4	4	4
關平	6	1	200	1	4	4	4	4
朱桓	76	3	200	4	4	4	4	4
闞澤	200	3	200	7	4	4	4	4
賈逵	176	2	200	9	4	4	4	4
